epoch,train_loss,val_loss,lr,ema_momentum
1,82.67866039276123,47.46654615402222,0.000189769820971867,0.9960398874968038
2,62.636187986894086,40.11335926055908,0.0002797953964194373,0.9960798886331999
3,56.20465344732458,42.58441858291626,0.00036982097186700764,0.9961198897695958
4,59.104323809797116,48.38466091156006,0.000459846547314578,0.9961598909059917
5,64.1301599740982,53.52169914245606,0.0005498721227621484,0.9961998920423876
6,69.30642422762784,60.259341144561766,0.0006398976982097187,0.9962398931787835
7,73.81293387846513,63.771513080596925,0.000729923273657289,0.9962798943151794
8,77.15260295434432,67.8120101928711,0.0008199488491048594,0.9963198954515753
9,80.37522701783614,70.11608257293702,0.0009099744245524297,0.9963598965879712
10,82.06404662132263,71.15649719238282,0.001,0.9963998977243672
11,82.72159045392817,71.12584438323975,0.0009996974252406852,0.9964398988607631
12,83.1919499093836,71.2630184173584,0.0009987866193762968,0.996479899997159
13,82.9158412326466,71.15073299407959,0.0009972686896973415,0.9965199011335549
14,81.6294322013855,70.11195640563965,0.0009951454856840596,0.9965599022699508
15,80.5537520755421,69.61648616790771,0.0009924195942967865,0.9965999034063467
16,78.95686945048246,67.82478523254395,0.0009890943368239388,0.9966399045427426
17,76.80067255280234,66.10224561691284,0.0009851737648352813,0.9966799056791386
18,74.38705851814963,63.78436069488525,0.000980662655245402,0.9967199068155346
19,71.9090110171925,62.34172887802124,0.0009755665044934097,0.9967599079519305
20,69.19081698764454,59.46734228134155,0.0009698915218459467,0.9967999090883264
21,66.54089231924577,57.72635316848755,0.0009636446218316774,0.9968399102247223
22,64.07701788165353,55.15759124755859,0.0009568334158164668,0.9968799113611182
23,61.32361529090188,53.15401039123535,0.0009494662027295197,0.9969199124975141
24,58.5998945127834,50.53665199279785,0.0009415519589517743,0.99695991363391
25,55.95106300440702,48.28328189849854,0.0009331003273788755,0.9969999147703059
26,53.223473808982156,45.999045276641844,0.000924121605672049,0.9970399159067019
27,50.68500484119762,43.75014772415161,0.0009146267337111971,0.9970799170430978
28,48.19328107617118,41.805945205688474,0.0009046272802654969,0.9971199181794937
29,45.97925814715299,39.80296440124512,0.0008941354288977478,0.9971599193158897
30,43.626268278468736,37.99432249069214,0.0008831639631196415,0.9971999204522856
31,41.516631028868936,36.11568470001221,0.0008717262508160365,0.9972399215886815
32,39.53655892068689,34.3429838180542,0.0008598362279572234,0.9972799227250774
33,37.57735953547738,32.64500226974487,0.0008475083816190188,0.9973199238614734
34,35.791727683760904,31.324784421920775,0.0008347577323313812,0.9973599249978693
35,34.10221284086054,29.795352458953857,0.0008215998157770533,0.9973999261342652
36,32.559256141835995,28.383315753936767,0.0008080506638625319,0.9974399272706611
37,31.033681284297597,26.987973165512084,0.0007941267851844249,0.997479928407057
38,29.59358465129679,25.90268678665161,0.0007798451449150004,0.9975199295434529
39,28.19931380857121,24.571849203109743,0.0007652231441314326,0.9975599306798488
40,26.985996240919288,23.44753179550171,0.0007502785986139314,0.9975999318162447
41,25.797433506358754,22.34409999847412,0.0007350297171385882,0.9976399329526408
42,24.75833833217621,21.462895250320436,0.0007194950792913867,0.9976799340890367
43,23.719724969430402,20.55907244682312,0.00070369361283041,0.9977199352254326
44,22.79255733164874,19.83843069076538,0.0006876445706238282,0.9977599363618285
45,21.911844968795776,19.015740871429443,0.0006713675071917617,0.9977999374982244
46,21.044722139835358,18.269202041625977,0.0006548822548806084,0.9978399386346203
47,20.22323248061267,17.364682722091676,0.0006382088996988587,0.9978799397710162
48,19.46265096014196,16.77302234172821,0.0006213677568438423,0.9979199409074121
49,18.73902554945512,16.152423691749572,0.0006043793459492284,0.9979599420438081
50,17.99565544453534,15.474748992919922,0.0005872643660834341,0.997999943180204
51,17.343760783022102,14.824850058555603,0.0005700436705294059,0.9980399443165999
52,16.729563043876126,14.399089241027832,0.0005527382413765031,0.9980799454529958
53,16.13144213503057,13.803823709487915,0.00053536916395544,0.9981199465893917
54,15.574086861176925,13.365878105163574,0.0005179576011474364,0.9981599477257876
55,15.042591571807861,12.867536664009094,0.0005005247675988799,0.9981999488621836
56,14.54732170971957,12.45731692314148,0.0004830919038729143,0.9982399499985795
57,14.104536736553365,12.035841703414917,0.00046568025056945267,0.9982799511349755
58,13.678663221272556,11.67086718082428,0.00044831102244514395,0.9983199522713714
59,13.245174743912436,11.218916821479798,0.00043100538256482843,0.9983599534077673
60,12.858531233939258,10.935663962364197,0.0004137844165159756,0.9983999545441632
61,12.494360278953206,10.66847858428955,0.0003966691067175216,0.9984399556805591
62,12.13888217644258,10.296979451179505,0.0003796803068544106,0.998479956816955
63,11.810913963751359,9.969974160194397,0.0003628387164689878,0.9985199579533509
64,11.495683076706799,9.716283702850342,0.00034616485574020357,0.9985599590897468
65,11.197752689773386,9.393080949783325,0.0003296790404813579,0.9985999602261428
66,10.905217219482768,9.173752284049987,0.0003134013573868494,0.9986399613625387
67,10.637416021390395,8.923883986473083,0.00029735163955808656,0.9986799624989346
68,10.35400301488963,8.711810064315795,0.0002815494423383841,0.9987199636353306
69,10.089273385026239,8.441750502586364,0.0002660140194862844,0.9987599647717265
70,9.847543318163265,8.258223700523377,0.00025076429971633904,0.9987999659081224
71,9.613123113458807,8.022367668151855,0.0002358188636359287,0.9988399670445183
72,9.40873458981514,7.786674988269806,0.0002211959211062272,0.9988799681809142
73,9.181095746430485,7.64816859960556,0.00020691328905488935,0.9989199693173102
74,8.992672771215439,7.482996809482574,0.0001929883697674992,0.9989599704537061
75,8.805028056556528,7.264782631397248,0.00017943812968422698,0.998999971590102
76,8.639418723908337,7.132522821426392,0.00016627907872753046,0.9990399727264979
77,8.467391902750188,6.8889859318733215,0.00015352725018608787,0.9990799738628938
78,8.302804964509876,6.795591509342193,0.00014119818117947194,0.9991199749992897
79,8.157530754804611,6.661934101581574,0.00012930689372736833,0.9991599761356856
80,8.014457152648406,6.590187680721283,0.00011786787644640315,0.9991999772720815
81,7.886493439024145,6.39471880197525,0.00010689506689688076,0.9992399784084776
82,7.764820514754816,6.307747006416321,9.640183460094231e-05,0.9992799795448735
83,7.649078738960353,6.200328803062439,8.640096475283311e-05,0.9993199806812694
84,7.538435213945129,6.069803905487061,7.690464264113019e-05,0.9993599818176653
85,7.440819397568703,6.019866621494293,6.79244388019078e-05,0.9993999829540612
86,7.342112675309181,5.907027173042297,5.9471294920931684e-05,0.9994399840904571
87,7.258456471291455,5.820240163803101,5.155551050205869e-05,0.999479985226853
88,7.179626042192632,5.753525042533875,4.418673031808587e-05,0.9995199863632489
89,7.111821375109932,5.695046782493591,3.737393265933852e-05,0.9995599874996449
90,7.049628700722348,5.63181962966919,3.112541839431605e-05,0.9995999886360408
91,6.986924320459366,5.568376243114471,2.544880085572393e-05,0.9996399897724367
92,6.938941301269964,5.533521294593811,2.0350996564214712e-05,0.9996799909088326
93,6.885805830359459,5.498553788661956,1.5838216801141526e-05,0.9997199920452285
94,6.856288983063265,5.477968454360962,1.1915960040590293e-05,0.9997599931816245
95,6.8302111598578366,5.452054214477539,8.589005249913597e-06,0.9997999943180204
96,6.79894745214419,5.425807178020477,5.861406066927131e-06,0.9998399954544163
97,6.777411069382321,5.37118353843689,3.7364858608650295e-06,0.9998799965908123
98,6.760440993038091,5.394167125225067,2.216833683110504e-06,0.9999199977272082
99,6.762057296254418,5.390637576580048,1.304301112636645e-06,0.9999599988636041
100,6.752826846458695,5.351096069812774,1e-06,1.0
